# Observed per-target mean coverage across historical Adaptive Sampling runs.
# DESCRIPTIVE ONLY. These are not adequacy gates, not reportability thresholds and
# not a no-call definition. Run labels are deliberately reduced to a count so that
# no sample can be identified from this file.
# Labels ending in _REVIEW_REQUIRED carry an unresolved contradiction in the source
# and must not be read as a confirmed target for that gene.
# genome_build=GRCh38 panel_version=AS_FUSION_PANEL_V1_UNCONFIRMED
gene	chromosome	start	end	length	runs	min_mean_depth	median_mean_depth	max_mean_depth
DCPS	chr11	126294060	126360006	65946	9	10.32	34.33	55.08
DDX10	chr11	108655069	108950927	295858	9	15.91	27.41	65.14
DDX3X	chrX	41324162	41361668	37506	9	8.12	14.87	32.59
DEK	chr6	18213860	18274530	60670	9	19.50	27.63	60.86
DHH	chr12	49076656	49104802	28146	9	6.49	30.16	52.68
DSCAML1	chr11	117417772	117827515	409743	9	11.14	40.15	69.75
ELF2	chr4	139047220	139187219	139999	9	18.10	30.38	51.01
ELL	chr19	18432663	18532070	99407	9	8.88	38.02	87.25
ELN	chr7	74018173	74079907	61734	9	9.35	31.81	83.87
EP300	chr22	41082592	41190077	107485	9	14.53	30.77	57.04
EPS15	chr1	51344263	51529267	185004	9	17.49	27.86	58.26
ETV6	chr12	11639674	11905377	265703	9	13.84	24.48	53.59
EWSR1	chr22	29258268	29310521	52253	9	10.89	32.04	52.11
FGFR1	chr8	38401143	38478635	77492	9	8.40	37.19	55.22
FLNA	chrX	154338531	154384639	46108	9	4.55	16.01	59.49
FLT3	chr13	27993274	28110576	117302	9	13.90	31.62	54.24
FNBP1	chr9	129877187	130053190	176003	9	9.92	34.89	53.14
FUS	chr16	31170110	31204872	34762	9	11.28	38.59	44.11
GAS7	chr17	9900606	10208607	308001	9	13.70	36.34	60.68
GLIS2	chr16	4304761	4349598	44837	9	6.06	31.58	109.96
GMPS	chr3	155860650	155954021	93371	9	20.58	27.18	64.34
GPR128	chr17	64562829	64583081	20252	9	14.28	25.53	45.65
HOXA9	chr7	27152438	27175538	23100	9	7.21	32.78	119.72
HOXC11	chr12	53963126	53987644	24518	9	8.11	32.98	67.57
HOXC13	chr12	53928831	53956545	27714	9	10.14	32.56	59.43
IGH_REVIEW_REQUIRED	chr5	143396959	143417420	20461	9	15.16	20.95	54.24
ITSN1	chr21	33632501	33909862	277361	9	18.71	34.28	69.48
KAT6A	chr8	41919479	42061988	142509	9	19.52	28.88	57.54
KMT2A	chr11	118426492	118536832	110340	9	17.47	30.11	58.04
KNL1	chr15	40584249	40674342	90093	9	13.97	33.65	67.03
LAMC3	chr9	130999174	131104474	105300	9	8.14	37.40	81.90
LASP1	chr17	38859859	38931771	71912	9	8.37	35.76	75.35
LYN	chr8	55869835	56024170	154335	9	15.35	28.89	54.71
ME2	chr18	50869118	50964256	95138	9	18.24	29.21	59.42
MECOM	chr3	169073507	169673712	600205	9	18.83	29.01	68.51
MKL1	chr22	40405003	40425445	20442	9	4.30	27.85	64.67
MLF1	chr3	158561194	158616456	55262	9	19.36	27.00	64.62
MLLT1	chr19	6200381	6289975	89594	9	9.88	35.96	83.03
MLLT10	chr10	21524232	21753630	229398	9	19.81	31.34	60.96
MLLT11	chr1	151050397	151079545	29148	9	11.55	29.09	53.91
MLLT3	chr9	20331669	20632499	300830	9	13.56	23.59	65.46
MLLT6	chr17	38695273	38739795	44522	9	8.75	30.36	104.99
MNX1	chr7	156994853	157020664	25811	9	6.24	30.16	113.29
MYC	chr8	127726231	127752951	26720	9	13.68	31.29	62.39
MYH11	chr16	15693135	15867028	173893	9	12.38	36.66	63.81
MYO1F	chr19	8510788	8587443	76655	9	9.44	32.69	80.54
NEBL	chr10	20769974	21303051	533077	9	20.46	28.97	68.19
NF1	chr17	31084927	31387678	302751	9	16.43	25.11	62.04
NOX4	chr11	89314354	89599558	285204	9	16.17	27.46	70.43
NPM1	chr5	171377849	171420900	43051	9	14.57	26.89	58.58
NRIP3	chr11	8970576	9014002	43426	9	16.67	30.88	61.71
NSD1	chr5	177123773	177310213	186440	9	20.05	33.24	63.32
NTRK3	chr15	87849751	88266740	416989	9	15.29	34.62	68.03
NUP214	chr9	131115586	131244663	129077	9	17.42	30.36	59.78
NUP98	chr11	3665019	3807554	142535	9	16.21	30.11	58.89
P2RY8	chrX	1452581	1547186	94605	9	3.04	8.44	13.08
PBX1	chr1	164549184	164861831	312647	9	19.22	30.35	70.44
PDS5A	chr4	39812863	39987911	175048	9	18.06	30.77	64.36
PICALM	chr11	85947175	86079084	131909	9	19.28	28.02	53.15
PML	chr15	73984716	74057827	73111	9	12.93	36.00	69.91
PRDM16	chr1	3059203	3448621	389418	9	5.38	37.94	119.20
RARA	chr17	40299180	40367643	68463	9	6.68	32.84	95.65
RBM15	chr1	110329377	110356677	27300	9	13.10	28.00	49.50
RUNX1	chr21	34777801	35059302	281501	9	15.15	26.23	49.12
RUNX1T1	chr8	91944972	92113385	168413	9	20.06	25.76	66.65
SEPTIN11	chr4	76939752	77048616	108864	9	17.67	28.16	58.87
SEPTIN2	chr2	241305187	241364027	58840	9	14.15	32.80	56.18
SEPTIN3	chr22	41959443	42008222	48779	9	11.44	36.64	66.52
SEPTIN5	chr22	19704503	19733320	28817	9	2.90	30.89	142.75
SEPTIN6	chrX	119605725	119703169	97444	9	9.11	15.25	41.93
SEPTIN9	chr17	77271499	77510597	239098	9	7.44	37.45	83.66
SMAP1	chr6	70657883	70872014	214131	9	20.45	27.38	68.34
SNX9	chr6	157813246	157955078	141832	9	19.09	27.92	59.43
TCF12	chr15	56908090	57301262	393172	9	16.12	24.87	58.12
TET1	chr10	68550337	68704486	154149	9	17.35	34.25	66.13
TOP3A	chr17	18261429	18324995	63566	9	6.07	33.85	64.15
TRIP11	chr14	91955991	92050060	94069	9	17.56	26.51	63.61
USP2	chr11	119345215	119391691	46476	9	7.33	35.62	72.36
VAV1	chr19	6762708	6867362	104654	9	16.28	33.77	60.22
