# ONTSeq GRCh37 Adaptive Sampling target/gene curation - RESEARCH USE ONLY
# 111-intent; CT45A2 selection_unmapped; two mapped intervals annotation-unresolved
source_target_label	target_label	declared_chromosome	gene_id	native_gene_name	resolution
VAV1	VAV1	chr19	ENSG00000141968.3	VAV1	direct
MYO1F	MYO1F	chr19	ENSG00000142347.12	MYO1F	direct
ELL	ELL	chr19	ENSG00000105656.8	ELL	direct
ACTN4	ACTN4	chr19	ENSG00000130402.7	ACTN4	direct
ITSN1	ITSN1	chr21	ENSG00000205726.9	ITSN1	direct
RUNX1	RUNX1	chr21	ENSG00000159216.14	RUNX1	direct
SEPTIN5	SEPTIN5	chr22	ENSG00000184702.13	SEPT5	curated_historical_symbol
BCR	BCR	chr22	ENSG00000186716.15	BCR	direct
EWSR1	EWSR1	chr22	ENSG00000182944.13	EWSR1	direct
MKL1	MKL1	chr22	ENSG00000196588.10	MKL1	direct
EP300	EP300	chr22	ENSG00000100393.9	EP300	direct
SEPTIN3	SEPTIN3	chr22	ENSG00000100167.15	SEPT3	curated_historical_symbol
P2RY8	P2RY8	chrX	ENSG00000182162.5	P2RY8	direct
DDX3X	DDX3X	chrX	ENSG00000215301.5	DDX3X	direct
SEPTIN6	SEPTIN6	chrX	ENSG00000125354.18	SEPT6	curated_historical_symbol
CT45A2	CT45A2_REVIEW_REQUIRED	chrX	.	.	selection_unmapped
FLNA	FLNA	chrX	ENSG00000196924.10	FLNA	direct
